name,lon,lat
AguasdeLindoia-SP,-46.633882,-22.4803601
Americana-SP,-47.3336909,-22.7378894
Amparo-SP,-46.7726171,-22.7080482
Campinas-SP,-47.073845,-22.9329252
Capivari-SP,-47.5094598,-22.9946056
Charqueada-SP,-47.773567,-22.5131732
Cordeiropolis-SP,-47.4593897,-22.4818598
Cosmopolis-SP,-47.1933457,-22.6400947
EliasFausto-SP,-47.368765,-23.0432476
EspiritoSantodoPinhal-SP,-46.75606,-22.1957895
Holambra-SP,-47.0491411,-22.6409997
Hortolandia-SP,-47.2147082,-22.8533412
Indaiatuba-SP,-47.2079557,-23.0881998
Ipeuna-SP,-47.7155611,-22.4360111
IracemApolis-SP,-47.5234139,-22.5837191
Itapira-SP,-46.80527777,-22.415
Jaguariuna-SP,-46.9855088,-22.7042272
MogiGuacu-SP,-46.9432454,-22.3679387
Mombuca-SP,-47.5648712,-22.9285977
MonteAlegredoSul-SP,-46.6826067,-22.69004
MonteMor-SP,-47.3131707,-22.9491671
Morungaba-SP,-46.7938194,-22.8795818
NovaOdessa-SP,-47.3007612,-22.7853141
Paulinia-SP,-47.174281,-22.7409594
PedraBela-SP,-46.4433575,-22.7947984
Pedreira-SP,-46.8959302,-22.7411989
Piracicaba-SP,-47.62333332,-22.70305555
RiodasPedras-SP,-47.6073575,-22.839754
Saltinho-SP,-47.6760718,-22.8461341
SantaBArbaradoOeste-SP,-47.4147585,-22.7557422
SaoPedro-SP,-47.9058019,-22.5508681
SerraNegra-SP,-46.6987498,-22.6134477
Socorro-SP,-46.5282973,-22.5905906
Sumare-SP,-47.270408,-22.8244781
Tuiuti-SP,-46.6909354,-22.8150137
Valinhos-SP,-46.9945643,-22.9680841
Vinhedo-SP,-46.9818353,-23.0264868
