name,lon,lat
Altinopolis-SP,-47.3742385,-21.0227981
Barretos-SP,-48.54499999,-20.55916666
Batatais-SP,-47.5853958,-20.8861299
Bebedouro-SP,-48.47138888,-20.94805555
Cajuru-SP,-47.3013532,-21.2755425
Colina-SP,-48.5318251,-20.7096088
Franca-SP,-47.38249999,-20.58444444
Guaira-SP,-48.3108795,-20.3255362
Igarapava-SP,-47.7563994,-20.0421785
Ituverava-SP,-47.77527777,-20.35972222
Jeriquara-SP,-47.5922795,-20.3120413
MonteAzulPaulista-SP,-48.6391715,-20.9069644
Nuporanga-SP,-47.7525622,-20.7304635
PatrocinioPaulista-SP,-47.2753293,-20.6456819
Pedregulho-SP,-47.4810384,-20.2562227
RibeiraoPreto-SP,-47.8103238,-21.1704008
SaoSimao-SP,-47.5549235,-21.4795829
Sertaozinho-SP,-47.990137,-21.1379949
