name,lon,lat
Alegrete-RS,-55.52555554,-29.70916666
Bage-RS,-54.01333333,-31.34777777
BentoGoncalves-RS,-51.534202,-29.164581
BomJesus-RS,-50.44194444,-28.66944443
CacapavadoSul-RS,-53.46694443,-30.54527777
Camaqua-RS,-51.83424,-30.807953
CambaradoSul-RS,-50.14972221,-29.04916666
CampoBom-RS,-51.064042,-29.674293
Canela-RS,-50.82722221,-29.36888888
Cangucu-RS,-52.70083333,-31.40333333
CaxiasdoSul-RS,-51.18638888,-29.1961111
CruzAlta-RS,-53.673597,-28.60344
DomPedrito-RS,-54.61805554,-31.0025
EncruzilhadadoSul-RS,-52.52472221,-30.54305555
Erechim-RS,-52.30583333,-27.65777777
FredericoWestphalen-RS,-53.42944443,-27.39555555
Jaguarao-RS,-53.37583332,-32.53472221
LagoaVermelha-RS,-51.512845,-28.222381
Mostardas-RS,-50.90638888,-31.24833333
PalmeiradasMissoes-RS,-53.31805554,-27.92027777
PassoFundo-RS,-52.403582,-28.226805
PortoAlegre-RS,-51.17472221,-30.05361111
Quarai-RS,-56.437115,-30.368578
RioGrande-RS,-52.16777777,-32.07888888
SantaMaria-RS,-53.72055554,-29.72499999
SantanadoLivramento-RS,-55.40138888,-30.75055555
SantaRosa-RS,-54.47999999,-27.89055555
SantaVitoriadoPalmar-RS,-53.35027777,-33.53166666
Santiago-RS,-54.885653,-29.191599
SantoAugusto-RS,-53.7911111,-27.85444444
SaoBorja-RS,-56.01638888,-28.65
SaoGabriel-RS,-54.31083333,-30.34138888
SaoJosedosAusentes-RS,-50.05777777,-28.7486111
SaoLuizGonzaga-RS,-54.9625,-28.41722221
Teutonia-RS,-51.82333332,-29.44916666
Torres-RS,-49.73333333,-29.35027777
Tramandai-RS,-50.13583333,-30.01027777
Uruguaiana-RS,-57.081899,-29.83987
Vacaria-RS,-50.882738,-28.513602
