name,lon,lat
Castro-PR,-50.0461111,-24.77999999
CidadeGaucha-PR,-52.93194443,-23.35916666
Colombo-PR,-49.157733,-25.322464
Curitiba-PR,-49.23055554,-25.4486111
DoisVizinhos-PR,-53.09527777,-25.69916666
FozdoIguacu-PR,-54.48305554,-25.60194444
GeneralCarneiro-PR,-51.35361111,-26.3986111
Goioere-PR,-53.04888888,-24.18388888
Irati-PR,-50.63749999,-25.50277777
LaranjeirasdoSul-PR,-52.39194444,-25.36888888
MarechalCandidoRondon-PR,-54.01916666,-24.53333333
Maringa-PR,-51.93277777,-23.40527777
Morretes-PR,-48.80861111,-25.50888888
SaoMateusdoSul-PR,-50.36888888,-25.83555555
