name,lon,lat
Água Boa,-52.21166666,-14.01638888
Alta Floresta,-56.17916666,-10.07722221
Alto Araguaia,-53.22444443,-17.33944444
Alto Taquari,-53.28944444,-17.8411111
Brasnorte,-58.23138888,-12.52194443
Campo Novo do Parecis,-57.8386111,-13.78583333
Campo Verde,-55.13555555,-15.53138888
Canarana,-52.2711111,-13.47083332
Carlinda,-55.82749999,-9.97055554
Comodoro,-59.7625,-13.70805555
Cotriguaçu,-58.57222221,-9.90638888
Cuiabá,-56.062951,-15.559295
Diamantino,-56.44694444,-14.40611111
Gaúcha do Norte,-53.2575,-13.18472221
Guarantã do Norte,-54.89777777,-9.9525
Guiratinga,-53.76611111,-16.34166666
Itiquira,-54.50166666,-17.17499999
Juara,-57.52666666,-11.28027777
Juína,-58.77472221,-11.37499999
Matupá,-54.9461111,-10.19166666
Nova Maringá,-57.09222221,-13.0386111
Nova Ubiratã,-54.75222222,-13.41111111
Nova Xavantina,-52.350226,-14.697917
Paranatinga,-54.0361111,-14.42138888
Pontes e Lacerda,-59.3461111,-15.23444444
Porto Estrela,-57.22583332,-15.32472221
Primavera do Leste,-54.3811111,-15.57999999
Querência,-52.1625,-12.60305555
Rondonópolis,-54.58027777,-16.4625
Rosário Oeste,-56.44194444,-14.82888888
Salto do Céu,-58.12722221,-15.12472221
Santo Antônio do Leste,-53.8836111,-14.92777777
São Félix do Araguaia,-50.72777777,-11.61888888
São José do Rio Claro,-56.67722221,-13.45388888
São José do Xingu,-52.37249999,-10.48416666
Sapezal,-58.76333333,-13.30388888
Serra Nova Dourada,-51.4261111,-11.98777777
Sinop,-55.56611111,-11.98222221
Sorriso,-55.72277777,-12.555
Tangará da Serra,-57.43166666,-14.65
Vila Bela da Santíssima Trindade,-59.87305554,-15.06277777
