name,lon,lat
Água Clara,-52.87583332,-20.44444444
Amambai,-55.32944443,-23.0025
Angélica,-53.76361111,-22.14805555
Aquidauana,-55.78388888,-20.47555554
Aral Moreira,-55.6261111,-22.955
Bandeirantes,-54.3686111,-19.94555555
Bataguassu,-52.47138888,-21.75
Bonito,-56.45055555,-21.24666666
Caarapó,-54.81944443,-22.65694444
Camapuã,-54.02999999,-19.58749999
Campo Grande,-54.722615,-20.447195
Cassilândia,-51.72083332,-19.12249999
Chapadão do Sul,-52.6025,-18.80222222
Corumbá,-57.63749999,-18.99666666
Costa Rica,-53.17138888,-18.49277777
Coxim,-54.7361111,-18.51222222
Dourados,-54.91138888,-22.19388888
Fátima do Sul,-54.32583332,-22.30861111
Iguatemi,-54.57027777,-23.64444444
Itaporã,-54.79888888,-22.09277777
Itaquiraí,-54.18194443,-23.44944444
Ivinhema,-53.82277777,-22.30055555
Jardim,-56.13777777,-21.4786111
Juti,-54.60555555,-22.85722222
Laguna Carapã,-55.16027777,-22.57527777
Maracaju,-55.17749999,-21.60916666
Miranda,-56.43166666,-20.39555555
Nova Alvorada do Sul,-54.34194444,-21.45083333
Nova Andradina,-53.46583333,-22.0786111
Paranaíba,-51.18166666,-19.69555555
Pedro Gomes,-54.54888888,-18.07277777
Ponta Porã,-55.71638888,-22.5525
Porto Murtinho,-57.88666666,-21.70583333
Ribas do Rio Pardo,-53.76305555,-20.46666666
Rio Brilhante,-54.52805554,-21.77499999
Santa Rita do Pardo,-52.82027777,-21.30583333
São Gabriel do Oeste,-54.55305555,-19.42027777
Sete Quedas,-55.02416666,-23.96694443
Sidrolândia,-54.97194443,-20.98166666
Sonora,-54.76055555,-17.63527777
Três Lagoas,-51.71333333,-20.79499999
